"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr..F."
"generation",4,1.74942593359067,0.437356483397666,3.11881834373585,0.580913367533617,0.001
"Residuals",9,1.26208323690441,0.140231470767157,NA,0.419086632466383,NA
"Total",13,3.01150917049508,NA,NA,1,NA
