"","OTU","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative"
"1699","ASV1161",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1700","ASV1050",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1701","ASV1615",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1702","ASV1689",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1703","ASV1293",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1704","ASV229",-0.0383561929153659,-0.15353775541576,0.879894017700478,16,-0.49633816113023,0.436327351091592,"Pearson's product-moment correlation","two.sided"
"1705","ASV815",-0.120443017699408,-0.485304973410933,0.634038183176906,16,-0.556045938439799,0.367067729768393,"Pearson's product-moment correlation","two.sided"
"1706","ASV1395",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1707","ASV1614",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1708","ASV564",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1709","ASV1010",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1710","ASV1122",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1711","ASV942",0.2465765351001,1.01773027073666,0.323949548188722,16,-0.248952785312574,0.639794028739709,"Pearson's product-moment correlation","two.sided"
"1712","ASV100",-0.121092495357453,-0.487960773496408,0.632196913643584,16,-0.55650107974421,0.366497306428004,"Pearson's product-moment correlation","two.sided"
"1713","ASV1580",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1714","ASV1324",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1715","ASV807",0.28892224784522,1.20717177036861,0.244910066958456,16,-0.205693670408537,0.665961359089072,"Pearson's product-moment correlation","two.sided"
"1716","ASV1559",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1717","ASV291",-0.306301439502979,-1.28706929537821,0.216379133713691,16,-0.676438757948749,0.187361950611845,"Pearson's product-moment correlation","two.sided"
"1718","ASV612",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1719","ASV593",-0.241100258203353,-0.993715425138339,0.335153006636438,16,-0.636342079522595,0.25440643905795,"Pearson's product-moment correlation","two.sided"
"1720","ASV847",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1721","ASV563",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1722","ASV591",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1723","ASV1539",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1724","ASV1577",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1725","ASV884",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1726","ASV1245",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1727","ASV1769",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1728","ASV1700",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1729","ASV1377",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1730","ASV1749",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1731","ASV1163",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1732","ASV1059",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1733","ASV317",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1734","ASV1124",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1735","ASV990",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1736","ASV188",0.132299194430837,0.533889760539675,0.600757398598961,16,-0.356596616496572,0.564313574158586,"Pearson's product-moment correlation","two.sided"
"1737","ASV1413",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1738","ASV325",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1739","ASV855",0.2465765351001,1.01773027073666,0.323949548188722,16,-0.248952785312574,0.639794028739709,"Pearson's product-moment correlation","two.sided"
"1740","ASV400",-0.241100258203353,-0.993715425138339,0.335153006636438,16,-0.636342079522595,0.25440643905795,"Pearson's product-moment correlation","two.sided"
"1741","ASV1754",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1742","ASV1641",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1743","ASV571",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1744","ASV510",-0.241100258203353,-0.993715425138339,0.335153006636438,16,-0.636342079522595,0.25440643905795,"Pearson's product-moment correlation","two.sided"
"1745","ASV1291",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1746","ASV117",0.235493734705975,0.969233799068458,0.346852938046333,16,-0.259957343134587,0.632791555211502,"Pearson's product-moment correlation","two.sided"
"1747","ASV1691",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1748","ASV1360",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1749","ASV175",0.260202410096227,1.07794027112244,0.297044412763671,16,-0.235245449796726,0.648314743041912,"Pearson's product-moment correlation","two.sided"
"1750","ASV596",0.132299194430837,0.533889760539675,0.600757398598961,16,-0.356596616496572,0.564313574158586,"Pearson's product-moment correlation","two.sided"
"1751","ASV1292",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1752","ASV1760",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1753","ASV380",-0.241100258203353,-0.993715425138339,0.335153006636438,16,-0.636342079522595,0.25440643905795,"Pearson's product-moment correlation","two.sided"
"1754","ASV844",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1755","ASV853",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1756","ASV419",-0.146535594217332,-0.592538595114819,0.561771573514169,16,-0.574127813721188,0.343858929129338,"Pearson's product-moment correlation","two.sided"
"1757","ASV418",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1758","ASV403",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1759","ASV1762",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1760","ASV724",-0.241100258203353,-0.993715425138339,0.335153006636438,16,-0.636342079522595,0.25440643905795,"Pearson's product-moment correlation","two.sided"
"1761","ASV858",-0.241100258203353,-0.993715425138339,0.335153006636438,16,-0.636342079522595,0.25440643905795,"Pearson's product-moment correlation","two.sided"
"1762","ASV641",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1763","ASV1507",0.132299194430837,0.533889760539675,0.600757398598961,16,-0.356596616496572,0.564313574158586,"Pearson's product-moment correlation","two.sided"
"1764","ASV1755",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1765","ASV1414",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1766","ASV863",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1767","ASV1231",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1768","ASV1287",0.132299194430837,0.533889760539675,0.600757398598961,16,-0.356596616496572,0.564313574158586,"Pearson's product-moment correlation","two.sided"
"1769","ASV1412",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1770","ASV880",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1771","ASV489",-0.0694739229114345,-0.278568778462255,0.784143902882801,16,-0.519494053433067,0.41071790744547,"Pearson's product-moment correlation","two.sided"
"1772","ASV1165",-0.241100258203353,-0.993715425138339,0.335153006636438,16,-0.636342079522595,0.25440643905795,"Pearson's product-moment correlation","two.sided"
"1773","ASV1350",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1774","ASV1734",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1775","ASV1406",-0.224204038804215,-0.920243507045297,0.371112528721431,16,-0.625590911709141,0.271036557819713,"Pearson's product-moment correlation","two.sided"
"1776","ASV320",-0.0989196176919103,-0.397628669524424,0.696158602430652,16,-0.540813512264797,0.385766142990574,"Pearson's product-moment correlation","two.sided"
"1777","ASV1356",0.2465765351001,1.01773027073666,0.323949548188722,16,-0.248952785312574,0.639794028739709,"Pearson's product-moment correlation","two.sided"
"1778","ASV1747",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1779","ASV1556",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1780","ASV783",-0.120443017699408,-0.485304973410933,0.634038183176906,16,-0.556045938439799,0.367067729768393,"Pearson's product-moment correlation","two.sided"
"1781","ASV1729",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1782","ASV1672",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1783","ASV1363",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1784","ASV1460",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1785","ASV1017",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1786","ASV98",-0.3223566874292,-1.36214013438165,0.192023611394778,16,-0.685986666191334,0.170115554381537,"Pearson's product-moment correlation","two.sided"
"1787","ASV654",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1788","ASV84",-0.088171229094672,-0.354063877290099,0.727913862540475,16,-0.533096641664616,0.394957057609522,"Pearson's product-moment correlation","two.sided"
"1789","ASV1622",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1790","ASV410",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1791","ASV1237",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1792","ASV1635",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
