"","OTU","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative"
"1482","ASV1351",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1483","ASV1011",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1484","ASV9",-0.353978155025108,-1.51393427723866,0.149545250396321,16,-0.70443244902943,0.135242306656652,"Pearson's product-moment correlation","two.sided"
"1485","ASV1508",0.0685001897742265,0.274645873871987,0.78710297452653,16,-0.411530926306885,0.518779342795428,"Pearson's product-moment correlation","two.sided"
"1486","ASV996",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1487","ASV311",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1488","ASV649",0.132299194430837,0.533889760539675,0.600757398598961,16,-0.356596616496572,0.564313574158586,"Pearson's product-moment correlation","two.sided"
"1489","ASV48",-0.209330565554557,-0.856293501533667,0.40447785409345,16,-0.615998952796191,0.285435134162292,"Pearson's product-moment correlation","two.sided"
"1490","ASV139",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1491","ASV893",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1492","ASV487",-0.187263370894594,-0.762543066898918,0.456831422800867,16,-0.601542030197917,0.306394015752547,"Pearson's product-moment correlation","two.sided"
"1493","ASV1452",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
