contrast,estimate,SE,df,lower.CL,upper.CL,p.value
R1 - R2,-0.08093859649122681,0.04587399574004288,394,-0.19936171574457343,0.037484522762119804,0.2919513403536157
R1 - R3,-0.15668333333333262,0.04522936422167864,394,-0.2734423447638876,-0.0399243219027776,0.0033818906601221776
R1 - R4,-0.17296969696969544,0.04409371777447538,394,-0.2867970519688182,-0.059142341970572665,6.524564934451416e-4
R2 - R3,-0.07574473684210581,0.04785807970602386,394,-0.19928974287077258,0.04780026918656097,0.38942220338540945
R2 - R4,-0.09203110047846863,0.04678628380653837,394,-0.21280927942847247,0.02874707847153521,0.20221082503779952
R3 - R4,-0.01628636363636282,0.04615439583794534,394,-0.13543333207042443,0.10286060479769879,0.9848973379141256
