contrast,estimate,SE,df,lower.CL,upper.CL,p.value
C: gen 0 - gen 4,-0.19730833333333253,0.04522936422167864,394,-0.3024873665638596,-0.09212930010280544,3.085179665718307e-5
A: gen 0 - gen 4,-0.32116666666666616,0.047011761179138675,394,-0.430490590988296,-0.21184274234503628,3.1980862402747334e-11
gen 0 - gen 4: C - A,0.12385833333333363,0.06523650110989732,394,-0.027846476941060044,0.27556314360772727,0.1323430182682992
