contrast,estimate,SE,df,lower.CL,upper.CL,p.value
R1 - R2,3.933932746800674,1.1521905952564926,444,0.9661097903018243,6.901755703299524,0.0038528159512555282
R1 - R3,4.833108708014251,1.1188930635574807,444,1.9510538348324467,7.715163581196055,1.1898731805004559e-4
R1 - R4,1.379431885789959,1.2161100801899967,444,-1.7530354581342245,4.5118992297141425,0.6676184760907143
R2 - R3,0.8991759612135769,1.0216802940733232,444,-1.7324773810690033,3.530829303496157,0.8146019933677254
R2 - R4,-2.554500861010715,1.1302454781199955,444,-5.465797386302015,0.35679566428058473,0.10870040498314126
R3 - R4,-3.453676822224292,1.0960058461069828,444,-6.276778593688713,-0.6305750507598713,0.00909843630843854
