"","Effect","DFn","DFd","F","p","p<.05","ges"
"1","gen",4,461,16.931,5.8e-13,"*",0.128
"2","treatment",2,461,1.19,0.305,"",0.005
"3","gen:treatment",7,461,6.891,8.28e-08,"*",0.095
