"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"generation",4,3.20989333722613,0.802473334306533,7.19200553979276,0.214118776355649,0.001
"treatment",15,6.09078316545643,0.406052211030429,3.63916111144002,0.406291082420239,0.001
"Residuals",51,5.69050452244403,0.111578520047922,NA,0.379590141224112,NA
"Total",70,14.9911810251266,NA,NA,1,NA
