"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr..F."
"generation",4,1.41193006362195,0.352982515905488,3.45654715201445,0.515398918946869,0.001
"Residuals",13,1.3275597019115,0.102119977070115,NA,0.484601081053131,NA
"Total",17,2.73948976553345,NA,NA,1,NA
