contrast,estimate,SE,df,lower.CL,upper.CL,p.value
C: gen 0 - gen 4,-2.7457131652013675,1.0537332769102024,444,-5.195072463959427,-0.2963538664433081,0.023847366577880114
A: gen 0 - gen 4,-10.024749115361342,1.2592167777186167,444,-12.951746289353116,-7.097751941369568,2.9753977059954195e-14
gen 0 - gen 4: C - A,7.279035950159975,1.6378534270904994,444,3.4719135885979417,11.08615831172201,2.6641851530784244e-5
