"","coef","exp(coef)","se(coef)","z","Pr(>|z|)"
"gen1",1.36147003777308,3.90192506504213,1.09702918000565,1.24105179933871,0.214586613985955
"gen2",2.44500365367969,11.5305917278507,1.03579443119943,2.36051052219736,0.0182498005872318
"gen3",2.5855325228881,13.2703539759197,1.03344332750722,2.50186193482394,0.0123542092653421
"gen4",2.41482256367589,11.1877850619698,1.03280432060388,2.33812205807189,0.0193809172536478
"treatmentREC",0.127201286227882,1.13564558459297,0.369513279778629,0.344240094169515,0.730665731972728
"treatmentAB",1.06551896284983,2.90234480242379,0.37693218329689,2.8268187490124,0.00470129294069217
